,	，
j,f	妗
j,g	姐
j,h	奸
j,ha	婧
j,j	姬
j,j.	妓
j,l	加
j,ld	娟
j,o	嫁
j,p	迦
j,q	娇
j,t	鸠
j,v	及
j,x	架
j,y	姣
j,yr	嫉
j,yt	袈
j.	鸡
j.,	劲
j.n	艰
j.p	迳
j.s	刭
j/	经
j/,	级
j/.	骏
j/a	骥
j/g	畿
j/h	绩
j/i	继
j/i;	缣
j/j	结
j/jf	缙
j/jn	缰
j/k	缄
j/l	绢
j/lj	缉
j/m	纠
j/n	纪
j/q	骄
j/t	绝
j/tl	驹
j/ty	绛
j/w	缴
j/y	绞
j;	较
j;;	巨
j;e	匠
j;k	戒
j;l	辑
j;q	轿
j;w	皆
ja	韭
jab	乩
jag	冀
jagh	龃
jap	遽
jb	节
jb,	艽
jb,l	茄
jb,v	芨
jb.	茎
jb;	苣
jbc	茳
jbf	蕉
jbg	菌
jbgh	苴
jbgj	茧
jbh	藉
jbha	菁
jbi	蒹
jbj	芰
jbk	荐
jbki	蕨
jbl	荚
jblj	蕺
jbll	莒
jbn	荩
jbna	葭
jbo	菅
jbq	敬
jbs	荆
jbt	菊
jbtg	蓟
jby	蒋
jbyh	警
jbyr	蒺茭
jc	江
jc,	汲
jc.	浚
jc.j	泾
jc;	渐
jc;q	浇
jcg	溅
jcgh	沮
jch	浅
jci	湔
jcj	酒
jcjz	洁
jcl	涓
jclq	浃
jcn	津
jcnl	浸
jcp	滘
jcq	湫
jct	洚
jcu	涧
jcw	激
jcwn	洎
jcy	济
jd	脚
jd.	胫
jdg	胛
jdh	肼
jdha	腈
jdk	尖
jdn	腱
jdt	肌
jdy	胶
je	近
je.	径
jeg	舰
jej	斤
jev	街
jew	徼
jf	件
jf,	隽
jf.	仅
jf.r	俊
jf;	侥
jf;t	僭
jfb	儆
jff	价
jffl	俭
jffy	僬
jfg	俱
jfh	金
jfi	倦
jfj	借
jfj.	伎
jfjn	僵
jfjz	佶
jfn	假
jfnh	健
jfnq	倨
jfnt	倔
jfo	焦
jfp	今
jfq	牮
jfs	剑
jfst	偈
jft	鹪
jfv	佳
jfw	介
jfx	集
jfy	佼
jfyl	僦
jg	见
jg,	岌
jg.	矍
jg.r	峻
jg;	睫
jgf	界
jgfl	睑
jgfw	蚧骱
jgfy	雎
jgg	岬
jggt	觊
jgh	甲
jgh,	贱
jgha	睛
jghz	且
jgi	圈
jgj	羁
jgk	畸
jgl	蛱
jgm	囝
jgn	崛
jgnr	赆
jgp	迥
jgq	峤
jgr	具
jgt	虮
jgx	巾
jgy	嵴
jgyr	蛟
jh	进
jh,	戋
jh,l	珈
jhg	击
jhgt	靓
jhh	珏
jhhs	耩
jhj	瑾
jhn	琚
jhp	恝
jht	玑
jhtn	静
jhtv	玖
jhw	井
ji	精
ji,	剪
ji,z	姜
ji.	翦
ji/	卷
ji;	兼
ji;;	炬
jig	眷
jigl	炯
jigs	蠲
jij	粳
jin	烬
jinb	糨
jio	煎
jir	爝
jis	羯
jit	鹣
jix	桊
jj	教
jj,	嘉
jj.	柬
jj;	戟
jj;r	戬
jja	醵
jjb	鞯
jje	靳
jjf	截
jjfy	醮
jjg	贾
jjgf	赍
jjgh	堇
jjgt	觐
jjj	酵
jjjl	兢
jjjm	棘
jjjz	髻
jjk	颉
jjl	吉
jjm	鄄
jjq	救
jjqd	鬏
jjs	晋
jjt	鞠
jjty	鞫
jjv	基墼
jjw	聚
jk	奇
jk;	戛
jkf	礁
jkfl	硷
jki	厥
jkj	礓
jkk	碱
jkm	殛
jkn	厩
jkq	歼
jks	劂剞
jkst	碣
jkt	矶
jkx	丌
jl	叫
jl,	跏
jl;	距
jl;t	喈
jla	噱
jlf	噍
jlg	咀
jlh	践
jlhw	趼
jli	嗟
jlj	咭
jlja	戢
jlk	颊
jlki	蹶噘
jlm	郏
jln	踞
jln.	跽
jln;	唧
jlnh	踺
jlq	啾
jlr	嚼
jlt	叽
jltp	鹃
jlw	踽
jlx	噤
jly	跤
jlyr	霁跻哜
jm	际
jm/	卺
jmf	阶
jmh	阱
jmt	降
jmv	孓
jmz	孑
jn	即
jn.	建
jn.j	弪
jn;	既
jnb	己
jnbl	局
jne	屐
jnef	屦
jng	届
jnj	居
jnjn	疆
jnl	君
jnlg	强
jnm	郡
jno	尽
jnp	忌
jnq	犟
jns	剧
jnsz	暨
jo	家
jo,	究
joa	寂
jog	觉
jogh	惧
joh	举
johs	蹇謇
joi	窭
jok	寄
jon	窘
joq	悸
joqa	窖
jos	憬
jos.	悭
joy	惊
jp	军
jp,	皲
jp.	谲
jp;	讵
jpd	肩
jpf	衿
jpfz	袷
jpg	扃
jph	讲
jphw	诫
jphx	讦
jpi	谫
jpj	计
jpj.	谏
jpja	谨
jpjz	诘
jpn	记
jpnq	裾
jpnr	诀
jpt	讥
jpu	裥
jpx	襟
jq	积
jq,	笈
jq,l	笳
jq;	矩
jqd	筋
jqg	犋
jqgj	稷
jqgt	笕
jqh	籍
jqh,	笺
jqhw	笄
jqi	箭
jqj	箕
jqjz	秸
jqk	稽
jqk.	嵇
jqky	犄
jqm	季
jqn	毽
jqo	稼
jqq	矫
jqu	简
jqv	筠
jqx	榘
jr	爵
js	紧
jsf	鉴
jsg	监
jss	晶
jsv	坚
jsy	景
jt	几
jt,	解
jtd	系
jtg	狙
jtgh	飓
jth	祭
jth,	饯
jti	灸
jtj	馑
jtjz	鲒
jtk	獗
jtl	句咎
jtld	狷
jtn	鲫
jtnr	觖
jtp	急
jts	鲣
jtt	饥
jtth	角
jtv	久
jtx	桀
jty	狡
jtyi	獍
jtyl	鲸
jtyr	饺鲛鲚
ju	间
ju;	拒
ju;,	拣
ju;h	捷
juf	捡
jug	攫
jui	搛
juj	技
jujz	拮
juk	撅
juky	掎
jul	捐
julq	挟
jun	据
junk	捃
junr	抉
junt	掘
juo	搅
juq	揪
juqr	挢
jus	揭
jut	拘
jutg	阄
juti	掬
juy	接
juyr	挤
jv	均
jv,	劫
jv,v	圾
jvg	趄
jvm	赳
jvy	境
jw	臼
jwg	舅
jwq	敫
jwy	皎
jx	机
jx,	极
jx,l	枷
jx.	橘
jx;	楷
jxa	椒
jxf	检
jxg	枧
jxh	禁
jxj	桔
jxja	槿
jxk	柩
jxki	橛
jxl	楫
jxn	楗
jxnq	椐
jxo	杰
jxoq	榉
jxs	旧
jxsq	槛
jxt	桷
jxw	桕
jxy	校
jy	将
jy,	痂
jy.	竣
jy.j	痉
jya	齑
jyd	脊
jyf	疥
jyg	浆
jygh	疽
jyh	靖
jyj	酱
jyja	廑
jyk	减
jykv	奖
jyl	京
jylt	竞
jym	郊疖
jyn	决
jyna	瘕
jyns	麂
jyp	迹
jyq	疾
jyqd	麇
jyqq	旌
jyr	交
jys	剂
jyst	竟竭
jyt	净
jytp	鹫
jytv	疚
jyx	桨
jyy	瘠
jz	键
jz;	钜
jzf	镌
jzg	钾
jzi	锩
jzj	豇
jzk	镢
jzl	铗
jzn	锯
jznt	锔
jzo	镓
jzt	钧
jzu	锏
jzw	锦
jzy	镜
jzyr	铰
k	可
k,	馗
k/	绔
k/g	骒
k/j	缂
k/y	纩
k;	轲
k;g	匮
k;h	匡
ka	卡
kad	肯
kan	龈
kb	苦
kb.	葵
kb;	蒈
kbg	蒉
kbm	芤
kbo	蔻
kbs	蒯
kbv	莰
kbz	苛
kc	渴
kcg	溃
kcv	溘
kd	胯
kda	胩
kdf	脍
kf	侃
kfa	佧
kff	侩
kfk	侉
kfk,	龛
kfm	郐
kfo	倥
kfy	伉
kg	困
kg.	睽
kgd	岿
kgg	髁
kgh	眶
kgj	骷
kgk	颗
kgkp	眍
kgkv	蝰
kgl	贶
kgn	瞰
kgo	髋
kgo,	崆
kgq	蝌
kgqx	蛞
kgs	剀
kgt	凯
kgv	瞌
kgz	岢
kh	开
khb	亏
khs	刊
khs;	琨
khz	珂
ki	炕
kij	烤
kiw	夔
kiy	糠
kj	克
kj,	勘
kj;	考
kj;r	戡
kjg	聩
kjk	髡
kjp	恐
kjq	酷
kjs	醌
kjt	壳
kjtf	款
kk	矿
kkg	盔
kkh	夸
kks	刳
kkt	砍
kkv	磕
kkvv	奎
kkw	夼
kl	口
kla	啃
klaj	咔
klf	哙
klg	喟
klh	哐
klk	哭
klkv	喹
klky	跨
klm	叩
klo	喀
klv	嗑
klvv	跬
km	孔
kmw	隗
kn	恳
kn,	尻
knv	垦
ko	快
kob	宽
kog	恺
kogh	窠
kogj	愦
kogx	悃
koh	窥
koht	寇
koj	空
kon	慨
kont	窟
koq	忾
koqa	喾
kot	客
kotv	恪
kow	愧
koy	慷
kp	课
kph	诓
kpn	裉
kpt	诳
kpy	裤
kq	看
kqa	靠
kqg	篑
kqgh	稞
kqh	筐
kqj	氪
kqo	科
kqo,	箜
kqog	筷
kqp	适
kqu	筘
kqy	犒
ks	昆
ks.	暌
ksy	旷
kt	狂
ktf	狯
ktg	馈
kts	鲲
ku	抗
ku.	揆
ku;	揩
kuc	阔
kug	捆
kugx	阃
kuj	拷
kuk	挎
kukp	抠
kul	扣
kun	阚
kuo	控
kuy	扩
kuyt	闶
kv	块
kvg	坤
kvgg	垲
kvj	堪
kvk	垮
kvn	堀
kvp	逵
kvt	坎
kvy	坑
kvyc	圹
kvz	坷
kw	魁
kx	棵
kxh	框
kxj	枯
kxjk	栲
kxz	柯
ky	库
kyk	颏
kyl	况
kym	邝
kyn	康
kys	刻
kyt	亢
kyy	廓
kyz	疴
kz	钪
kz;	锴
kzg	铠
kzgh	锞
kzj	铐
kzs	铿
kzs;	锟
kzu	锎
kzz	钶
l	了
l,	力
l,g	娌
l,gj	嫘
l,j	姥
l.	垒
l.;	戮
l.t	鹨
l/	络
l/;	练
l/g	骡
l/gj	蠡缧
l/i	缕
l/j	骊
l/k	缭
l/n	绿
l/p	驴
l/pv	邋
l/s	缆
l/t	骆
l/tp	骝
l/tu	绺
l/v	绫
l/y	缡
l;	连
l;a	轳
l;f	轮
l;i	辚
l;j	辆
l;t	轹
l;tv	辂
l;y	辘
la	虑
la,	虏
laf	龄
lag	卤
lak	颅
lan	卢
lat	鸬
lb	落
lb,	劳
lb,,	荔
lb.	蓼
lb;	莲
lbc	蒗
lbf	莅
lbfl	蔹
lbfp	苓
lbg	萝
lbi	蒌
lbk	茏
lbk,	苈
lbl	莱
lblm	蕾
lbp	芦
lbph	莨
lbq	莉
lbqd	藜
lbqj	荦
lbs	蓝
lbu	蔺
lbv	菱
lby	蓠
lc	流
lc;	涟
lca	滤
lcan	泸
lcb	涝
lcf	沦
lcfh	鎏
lcfl	潋
lcfp	泠
lcg	泪
lcgj	澧
lci	粱
lcj	溧
lcjn	濑
lck	沥
lck.	洌
lcko	潦
lcl	涞
lcla	潞
lcm	泐
lcn	漏
lcnj	渌
lcp	浪
lcs	滥
lct	洛
lctd	泺
lctp	溜
lcu	澜
lcx	梁
lcxx	淋漤
lcy	漉
lcyr	浏漓濂
lcys	滦
ld	劣
ld,	肋
lda	胪
ldd	朤
ldf	脸
ldi	膦
ldj	腊
ldk	胧
ldl	脶
ldq	脷
ldy	臁
le	律
lea	舻
lel	徕
lf	领
lf,	仂
lf.	翎
lf;	瓴
lff	伦
lffp	伶
lfg	俚
lfgf	赁
lfgh	倮
lfgj	儡
lfi	偻
lfj	俩
lfj.	俪
lfjk	佬
lfjm	傈
lfk	例
lfko	僚
lfl	侣
lfm	邻
lfp	令
lfq	敛
lfqd	俐
lft	仑
lg	罗
lg/	累
lgb	崂
lgf	岭
lgfp	囹蛉
lgft	囵
lgg	螺
lgh	里
lgi	嶙
lgij	髅蝼嵝瞵
lgj	蜡
lgjg	罱
lgk	瞭
lgk;	蛎
lgl	睐
lglq	崃
lgo	罹
lgp	逻
lgph	螂
lgq	蜊
lgt	略
lgtr	岚
lgtv	赂
lgy	詈
lgyr	蠊
lh	理
lh;	琏
lhb	耢
lhf	玲
lhi	耧
lhj	耒
lhk	珑
lhk,	嫠
lhkx	弄
lhl	璐
lhp	琅
lht	珞
lhx	琳
lhy	璃
lhy.	琉
li	类
li,	娄
li/	粼
li;	炼
lif	羚
lih	兰
lii	烂
lik	燎
lik;	粝
lio	料
lip	粮
lipk	炉
lipv	遴
lit	烙
litp	熘
liy	粒
lj	两
lj,	勒
lj.	醪
lj/	鬣
ljf	聆
ljg	醴
lji	联
ljm	郦
ljn	吏
ljp	逦
ljr	酹
ljs	剌
ljt	老
ljtg	赖
ljtp	鹂
ljtt	聊
ljtv	酪
ljx	栗
lk	历
lk,	励
lk,v	龙
lk;	厉
lkf	殓
lkg	厘
lki	磷
lkj	聋
lkk	磊
lkk;	砺
lkkl	砻
lkkp	奁
lkn	碌
lko	烈
lks	列
lkt	砾
lktp	鹩
lktv	尥
lkv	垄
lky	裂
lky.	硫
lkyi	砬
ll	来
ll,	另叻
ll/	躐
llb	唠
llbu	躏
llf	零
llfp	呤
llg	雷
llgf	赉
llgh	哩
llgs	啰囉
lli	喽
llj	喇
llja	嘞
llk	咙
llk,	雳呖
llk.	咧
llkg	喱
llko	嘹
lll	吕
llla	露
llm	酃
llp	踉
llph	啷
llpk	唳
llq	嚟
llt	路
lltd	跞
lltg	噜
lltp	鹭
llu	啦
llx	霖
llxx	啉
lm	陆
lmj	陋
lmk	陇
lmp	辽
lmt	隆
lmv	陵
ln	灵
lne	履
lnf	录
lni	屡
lnj	隶
lnp	逯
lo	愣
lo.	寥
lof	怜
log	帘
logh	悝
loj	懒
lok	寮
lom	窿
loo	〇
loq	牢
loy	懔
lp	论
lp;	裢
lpb	礼
lpd	朗
lpf	裣
lpg	裸
lph	良
lphj	诔
lpi	褛
lpk	戾
lpm	郎
lpn	禄
lps	褴
lpu	谰
lpx	冧
lpy	谅
lq	利
lqb	乱
lqf	黎
lqg	箩
lqgi	黧
lqi	篓
lqj	籁
lqjm	篥
lqk	笼
lql	稆
lqn	氯
lqp	稂
lqq	犁
lqs	篮
lqt	氇
lqx	梨
lqy	笠
lqyr	篱
lqyt	簏
ls	量
ls,	旯
lsg	览
lsq	临
lsy	晾
lt	留
lt;	鲢
lta	鲈
ltd	乐
ltf	雒
ltg	狸
ltgh	鲤
ltgj	鳢
ltgs	猡
lti	鳞
ltj	猎
ltj.	鲡
ltja	鳓
ltk	獠
ltm	卵
ltp	狼
ltpv	遛
ltq	猁
lts	鲁
ltt	馏
ltv	鲮
lu	拉
lua	掳
lub	捞
luf	抡
lufp	拎
lug	撂
lugj	摞
lugs	攞
lui	拦
luij	搂
luj	阑
luk	拢
luko	撩
lul	擂
lull	闾
lup	捩
luph	阆
lur	捋
lus	揽
lut	撸
luy	掠
lv	垃
lva	垆
lvc	墚
lvg	塄
lvk	垅
lvk,	坜
lvk.	趔
lvr	埒
lw	魉
lx	林
lx,	婪
lxa	栌
lxf	柃
lxg	楞
lxgs	椤
lxi	楼
lxih	栏
lxj	楝
lxjk	栳
lxk	栊
lxk,	枥
lxl	檑
lxm	李
lxn	棂
lxp	榔
lxs	榄
lxt	柳
lxtd	栎
lxtg	橹
lxtp	榴
lxu	榈
lxv	棱
lxy	麓
lxyg	檩
lxyl	椋
ly	率
ly,	娈
ly.	廖
ly;	疠
lyb	痨
lyd	膂
lydg	蠃
lydi	羸
lyf	冷
lyfh	銮
lyg	离
lygj	瘰
lygr	脔
lygx	峦
lyi	立
lyi;	廉
lyij	麟瘘
lyj	辣
lyjn	癞瘌
lyk	冽
lyk,	疬
lyl	吝
lylp	亮
lym	疗
lymt	癃
lymz	孪
lyn	鹿
lyp	恋
lyph	廊
lypk	庐
lyq	旅
lyqd	痢
lyqj	挛
lyqy	旒
lyr	六
lys	刘
lyt	瘤
lytp	鸾
lyu	斓
lyv	凌
lyx	栾
lyy	凉
lyyg	凛廪
lz	丽
lz;	链
lzb	铹
lzf	铃
lzg	锣
lzgh	锂
lzgj	镙
lzi	镂
lzj	铑
lzk	镣
lzl	铝
lzlg	鬲
lzlm	镭
lzlq	铼
lzm	钌
lzp	锒
lzr	锊
lzt	镏
lztg	镥
lzu	镧
lzy	镰
lzy.	锍
m	们
m,	妈
m,/	姆
m,b	嫫
m,d	妙
m,h	妹
m,j	媒
m,m	媚
m,t	娩
m,y	嬷
m.	矛
m.f	鍪
m.g	蟊
m.gh	瞀
m.gj	蝥
m.q	牟
m.y	买
m/	马
m/.	缪
m/d	糸
m/g	缈
m/k	缅
m/n	缗
m/s	缦
m/w	绵
m/y	母
m;	迈
m;,	劢
m;c	万
ma	芈
mb	蒙
mb,	募
mb.	茅
mb.y	荬
mb/	蓦
mb;	甍
mbc	茫
mbd	慕
mbg	苗
mbgh	苜瞢
mbgs	蔑
mbgx	幕
mbh	茉
mbk	茂
mbkg	颟
mbko	莽
mbn	苠
mbq	摹
mbq/	莓
mbr	藐
mbs	暮
mbsd	萌
mbsg	蔓
mbsk	莫墓
mbt	茆
mbtp	鹋
mbtv	茗
mby	芒
mbyc	蘑蘼
mc	没
mcb	满
mcbk	漭
mcbs	漠
mcg	渺
mch	沫
mcj	沔
mck	湎
mcl	渑
mcm	湄
mcn	泯
mcp	懑
mcps	溟
mcs	汨
mcsg	漫
mct	泖
mctg	浼
mcx	沐
md	膜
mdb	朦
mdi	脒
mdk	腼
mdp	脉
me	艋
meb	艨
mf	命
mf.	侔
mft	仫
mg	目
mg.	眸
mg.q	蛑
mg/	蚂
mgb	瞒
mgbg	瞄蠛
mgbj	螨
mgbk	蟒
mgbp	蠓
mgbs	蟆
mgd	眇
mgg	冒
mggh	帽
mggr	淼
mgi	眯
mgj	眄
mgk	默
mgm	嵋
mgmj	蜢
mgn	眠
mgnn	岷
mgp	瞑
mgps	螟
mgs	皿
mgsg	幔
mgt	冕
mgtt	峁
mgv	墨
mgvr	睦
mgy	虻
mh	末
mh/	玛
mha	麦
mhg	瑁
mhn	珉
mhq	玫
mhy	玟
mhyc	耱
mi	美
mij	米
mija	煤
mip	迷
miq	敉
mis	熳
miu	焖
mj	某
mj.	卖
mji	醚
mjq	髦
mjq/	酶
mjq;	耄
mjt	酩
mjtg	鞔
mk	面
mk/	码
mkb	硭
mkbp	礞
mkg	冇
mkt	殁
ml	吗
ml.	哞
ml/	骂
mlb	喵
mle	灭
mlg	黾
mlh	呒
mlha	唛
mli	咪
mlih	咩
mlk	踎
mlo	嘧
mlq	霉
mlr	霾
mlt	鸣
mly	嘛
mlyx	嚤
mm	眉
mm,	勐
mmg	孟
mmk	陌
mmt	鹛
mn	民
mnj	弭
mnp	愍
mnt	弥
mo	忙
mob	寞
mobg	懵
mog	密
mogj	蜜
mom	寐
mop	宓
mos	慢
mou	悯
mp	谋
mp.	谬
mpb	谟
mpi	谜
mpk	幂
mpn	袂
mpp	谧
mps	冥
mpsg	谩
mpt	祢
mq	每
mq.	毪
mq;	毛
mqd	秒
mqg	篾
mqh	秣
mqq	敏
mqq;	牦
mqqr	牧
mqt	鳘
mqv	牡
mqw	穆
mr	貌
mrb	貘
mrg	觅
mrk	貊
mrp	邈
ms	明
msg	盟
msgs	曼
msh	昧
msp	暝
mst	昴
mt	么
mt,	勉
mt/	犸
mtb	猫
mtbs	馍
mtg	免
mtgf	贸
mtl	名
mtm	卯
mtmj	猛
mtmk	猸
mtn	猕
mts	馒
mtsg	鳗
mu	门
mu/	拇
mub	摸
mubg	描
mug	闽
muh	抹
muk	搣
mun	抿
mup	闷
muu	扪
muy	闵
mv	埋
mv/	坶
mvs	墁
mw	魅
mx	木
mx/	杩
mxb	模
mxbp	檬
mxd	杪
mxm	楣
mxp	懋
mxq	梅
mxqr	枚
mxt	梦
mxw	棉
my	亩
my.	袤
my/	縻
mya	靡
myb	瘼
myg	庙
mygh	盲
mygj	蛮
myi	糜
myk	磨
mym	邙
myn	氓
myns	麋
myq	摩
myqq	旄
myt	麽
myw	魔
myx	麻
mz	铭
mzb	锚
mzbs	镆
mzg	钼
mzi	镁
mzm	锰
mzmk	镅
mzs	镘
mzt	铆
mzu	钔
n	你
n,	乃
n,,	奶努
n,.	奴
n,/	驽
n,g	鼐
n,gr	胬
n,j	嫩
n,m	妞
n,mz	孥
n,n	娜
n,nb	弩
n,ne	妮
n,p	娘
n,po	怒
n,z	女
n.	能
n.f	难
n/	乜
n/g	纳
n/m	纽
n;	匿
na	虐
nb	孽
nb,	艿
nb/	乸
nbj	蔫
nbk	萘
nbt	茑
nbw	蘖
nc	浓
nca	淖
ncn	泥
ncn.	溺
nco	泞
ncs	涅
nd	脑
ndg	肭
ndh	腻
ndj	腩
ndn	脲
ndp	脓
nf	您
nf.	傩
nfh	佞
nfn	伲
nfp	念
nfpo	恁
nfpt	侬
nfq	拿
nfw	倪
ng	内
ng,	男
ng,j	嬲
ng,z	囡
ng;	蛲
ngj	蝻
ngw	睨
nh	瑙
nh;	辇
nhk	耨
ni	逆
nia	粘
nil	糯
nj	南
nj.	聂
nja	廿
njk	颞
njl	囊
njo	聍
njp	酿
nk	耐
nk,	孬
nkh	奈
nkn	碾
nkp	恧
nkw	硇
nl	呢
nl,	呶
nla	啮
nlb	喏
nlf	唸
nlfz	噏嗱
nlg	呐
nlga	啱
nlj	蹑
nlja	嗫
nljg	喃
nljn	囔
nln	哪
nlo	咛
nlp	哝
nlw	霓
nm	陧
nmn	孻
nn	那
nng	尿
nnt	尼
no	宁
nog	甯
nol	懦
nom	忸
non	怩
noy	恼
np	农
npb	诺
npf	谂
npg	讷
npgr	衲
nq	年
nq,	氖
nqa	黏
nqj	牛
ns	暖
nsn	昵
nsy	曩
nt	袅
nt.	猱
nta	鲇
ntf	鲶
ntj	馕
ntm	狃
nto	狞
ntr	馁
ntw	猊
ntw;	鲵
nu	闹
nu.	拟
nu;	挠
nua	拈
nuf	捻
nuh	撵
nuj	攮
nuk	捺
num	扭
nun	挪
nun.	搦
nuo	拧
nus	捏
nut	撚
nv	赧
nvf	埝
nvn	坭
nvy	垴
nw	臬
nwm	衄
nx	楠
nxh	柰
nxo	柠
ny	凝
ny;	疟
nyq	旎
nz	钮
nz,	钕
nz;	铙
nzb	锘
nzf	镎
nzg	钠
nzj	镊
nzn	铌
nzw	镍
o	偶
o;	区
ob	藕
oc	沤
oh	耦
ok	欧
ok;	瓯
okt	殴
oktp	鸥
ol	噢
olk	呕
oln	喔
oo	怄
op	讴
p	平
p,	皮
p,g	娉
p,i	姘
p,j	嫖
p,k	颇
p,o	嫔
p,w	媲
p/	骗
p/;	纰
p/i	骈
p/j	缥
p/l	辔
p;	匹
pa	频
pa.	攴
paw	颦
pay	裴
pb	蓬
pb;	芘
pba	疋
pbc	萍
pbce	蒎
pbcj	蒲
pbj	莆
pbk	苤
pbl	苹
pbt	葡
pbw	葩
pby	菩
pc	派
pc,	婆
pc,.	泼
pcf	濮
pcg	淠
pci	泮
pcig	潎
pcj	漂
pcjm	沛
pcjn	浦溥
pcjz	澎
pcq	湃
pcr	潘
pcr,	湓
pct	泡
pcy	滂
pd	胖
pdd	朋
pddt	鹏
pdi	胼
pdj	膨
pdk	胚
pdr	脬
pdw	脾
pe	盘
pea	徘
pek	磐
pem	爬
pex	槃
pey	彷
pf	偏
pf;	仳
pfa	俳
pff	仆
pfg	俜
pfn	僻
pft	凭
pftj	佩
pg	帕
pg,	帔
pg;	毗
pg;t	蚍
pgi	畔
pgj	瞟
pgjm	螵
pgjn	圃
pgjz	蟛
pgr	盼
pgrq	蟠
pgv	罴
pgw	睥
pgwn	蜱
pgy	赔
pgyi	螃
ph	珀
ph;	琵
phm	琶
phs	璞
phy	耪
pi	判
pi;	瓶
pie	叛
pig	瞥
pis	普
piw	粕
pj	配
pje	彭
pje.	瓢
pjg	聘
pjh	票
pjs	剽
pjt	飘
pjw	鼙
pjy	醅
pk	破
pk;	砒
pkd	硼
pkf	丕
pki	碰
pkl	砰
pkm	邳
pkr	殍
pkt	匏
pl	品
plb	蹒
plc	霈
ple	哌
plj	喷
pljm	嘌
pljz	嘭
plk	呸
pln	霹
plnc	噼
plp	蹁
plr	趴
pls	噗
plsi	蹼
plt	跑
pltn	咆
plu	啪
plw	啤
pm	陪
pmk	爿
pmw	陴
pn	屁
pn,	劈
pn;	甓
pny	譬
po	怕
pol	怦
pp	评
pp.	翩
ppi	谱
ppih	袢
ppp	谝
ppt	袍
ppx	襻
pq	篇
pq;	笸
pqc	氕
pqi	氆
pqp	犏
pqt	牝
pqty	篷
pqu	筢
pr	贫
prg	盆
prm	鄱
prw	貔
pt	匍
ptl	鲆
ptp	逄
ptt	狍
pu	拼
pu,	披
pu,,	抛
pu.	拚
pu;	批
pua	排
puf	扑
puh	捧
pui	撇
pul	抨
pun	擗
puw	拍
puy	掊
pv	培
pv,	坡
pvd	堋
pvk	坯
pvl	坪
pvn	圮
pvw	埤
pw	片
pwc	乒
pwm	郫
pwp	迫
pwr	皤
pwv	乓
pww	牌
px	攀
px;	枇
pxd	棚
pxf	朴
pxl	枰
pxll	榀
pxm	杷
py	旁
py,	疲
pyk	庞
pykf	痞
pyl	烹
pyn	癖
pyq	旆
pys	剖
pyt	庀
pytn	庖疱
pyw	裒
pz	铺
pz,	铍
pz;	钷
pzf	钋
pzi	镨
pzl	叵
pzs	镤
pzy	锫
q	起
q,	嫱
q.	劝
q.p	逡
q.y	巯
q/	骑
q/g	缱
q/i	绻
q/j	骐
q/k	驱
q/ky	绮
q/l	缲
q/q	纤
q;	七
q;,	切
q;,z	妻
q;.	轻
q;.;	翘
q;f	辁
q;k	顷
q;v	堑
q;x	椠
qa	歧
qag	觑
qaw	龋
qay	虔
qb	芹
qb;	萋
qba	蘧
qbc	蕖
qbf	芩
qbfh	荃
qbg	苘
qbh	葜
qbi	蕲
qbj	蔷
qbj,	茜
qbja	萁
qbk	颧
qbl	葺
qbn	茕
qbnb	芑
qbnh	荨
qbq	芊
qbqj	擎
qbqr	荞
qbt	芡
qbt;	芪
qbx	檠
qby	荠
qc	清
qc;	沏
qcf	洽
qcg	泅
qch	潜
qchk	溱
qcj	淇
qcp	沁
qcq	汽
qcqb	汔
qcx	渠柒
qcxf	漆
qcy	泣
qd	腔
qdf	雀
qdt	肷
qdtl	朐
qdy	脐
qe	颀
qeg	衢
qep	愆
qf	全
qf.	俟
qf;	倾
qf;;	佢
qf;r	戗
qfa	企
qff	俏
qfh	倩
qfj	俅
qfl	佥
qfn	侵
qfq	仟
qfqr	侨
qfs	劁
qfy	禽
qfyt	衾
qg	曲
qg.	黢
qgb	虬
qgf	瞧
qgfc	峭
qgfp	黔
qgfy	瞿
qgfz	囚
qgg	蛆
qggh	蠼
qggj	蛐
qgh	蜻
qgha	圊
qghk	螓
qghw	岍
qgi	蜷
qgih	蜣
qgij	蝤
qgj	嵌
qgj.	岐
qgja	蜞
qgjy	赇
qgk	崎
qgko	畎
qgkp	岖
qgn	岂
qgnb	屺
qgo	髂
qgp	遣
qgq	氍
qgqb	盵
qgv	畦
qgw	蚯
qgy	黥
qgyr	蛴
qh	青
qha	璩
qhf	琴
qhj	球
qhja	琪
qhk	琦
qhkv	契
qhq	秦
qhqj	挈
qhw	亓
qhy	琼
qi	前
qi,	券
qi.	羟
qif	炝
qih	羌
qij	酋
qip	遒
qiq	拳
qit	歉
qiw	糗
qj	其
qj,	勤
qj,z	娶
qj.	取
qj/	綦
qj;	巧
qjb	醛
qjd	期
qjf	鞘
qjfh	銎
qjg	蛩
qji	鬈
qjk	磬
qjl	跫
qjm	邛
qjp	逑
qjpo	悫
qjq	罄
qjqr	鞒
qjs	耆
qjsj	覃
qjt	欺
qjti	麴
qjtp	鹊
qjy	求
qjyh	謦
qjyt	裘
qk	确
qk;	砌
qk;q	硗
qka	戚
qkc	磲
qkh	碛
qko	犬
qkq	牵
qkt	欹
ql	器
ql;	跷
qlf	呛
qlf/	跄
qlfy	噙
qlh	嗪
qlk	嘁
qlp	吣
qlr	蹊
qm	亟
